"Bidder #","Certificates Bid For","Certificates Awarded","Lien Value of Awards","High Bid Premium of Awards","Total Due for Awards"
13,17,7,29836.35,0.00,29836.35
21,1,1,3194.94,0.00,3194.94
25,3,1,406.86,0.00,406.86
26,21,10,14484.99,0.00,14484.99
32,27,8,29890.63,0.00,29890.63
34,4,3,54272.84,0.00,54272.84
37,2,1,3303.26,0.00,3303.26
44,3,2,2787.13,0.00,2787.13
45,9,2,1449.51,0.00,1449.51
47,3,2,4610.61,0.00,4610.61
50,4,4,2792.56,0.00,2792.56
56,1,1,4265.73,0.00,4265.73
59,53,27,103221.14,0.00,103221.14
77,2,1,379.06,0.00,379.06
78,4,4,1277.16,0.00,1277.16
85,4,2,30856.37,0.00,30856.37
88,58,10,47092.69,0.00,47092.69
89,4,2,6133.89,0.00,6133.89
104,7,1,6982.85,0.00,6982.85
107,12,7,13697.92,0.00,13697.92
113,13,4,2793.32,0.00,2793.32
114,57,9,55829.46,0.00,55829.46
116,3,1,1040.42,0.00,1040.42
121,58,7,17217.08,0.00,17217.08
123,5,1,1729.75,0.00,1729.75
126,58,8,44817.76,0.00,44817.76
127,59,31,306638.11,0.00,306638.11
129,10,6,88580.56,0.00,88580.56
144,14,3,3591.52,0.00,3591.52
152,62,43,69244.14,0.00,69244.14
163,4,3,26301.36,0.00,26301.36
164,42,30,87372.45,0.00,87372.45
169,16,3,2596.28,0.00,2596.28
170,10,7,4459.58,0.00,4459.58
181,7,3,9424.29,0.00,9424.29
183,2,2,1718.18,0.00,1718.18
186,1,1,485.86,0.00,485.86
189,55,8,72735.07,0.00,72735.07
192,7,1,3635.36,0.00,3635.36
198,26,19,50340.72,0.00,50340.72
203,1,1,416.68,0.00,416.68
208,9,5,14874.08,0.00,14874.08
213,2,1,2554.10,0.00,2554.10
214,4,3,7242.35,0.00,7242.35
215,2,2,2545.30,0.00,2545.30
218,18,7,9778.00,0.00,9778.00
222,9,7,8368.59,0.00,8368.59
223,38,24,48091.56,0.00,48091.56
227,18,5,16597.18,0.00,16597.18
