"Bidder #","Certificates Bid For","Certificates Awarded","Lien Value of Awards","High Bid Premium of Awards","Total Due for Awards"
11,1,1,3725.48,657.00,4382.48
13,155,23,86165.66,83.00,86248.66
22,7,2,2508.40,0.00,2508.40
27,845,257,616010.88,1278905.00,1894915.88
29,1,1,2666.71,0.00,2666.71
34,3026,271,758972.37,205186.00,964158.37
35,4,4,5084.73,0.00,5084.73
38,2,1,949.34,0.00,949.34
39,18,11,66186.40,8527.00,74713.40
40,39,5,22661.24,2781.00,25442.24
44,1,1,590.05,115.00,705.05
50,89,3,15074.94,0.00,15074.94
51,96,10,84265.16,19777.00,104042.16
53,34,6,22802.75,0.00,22802.75
54,8,3,8947.68,1318.00,10265.68
60,2338,984,2866176.47,5426140.00,8292316.47
62,119,30,109382.92,178.00,109560.92
65,4,4,5131.84,174.00,5305.84
66,1,1,313.37,28.00,341.37
70,62,1,365.78,0.00,365.78
71,32,9,41745.43,42694.00,84439.43
77,2538,236,334326.72,61966.00,396292.72
81,23,11,105779.53,20435.00,126214.53
83,1,1,3799.76,13224.00,17023.76
86,6,5,3960.72,690.00,4650.72
87,53,6,4403.40,601.00,5004.40
89,2108,313,1583619.13,458746.00,2042365.13
92,128,13,24165.21,0.00,24165.21
108,5,1,4059.48,1881.00,5940.48
121,118,5,44147.20,0.00,44147.20
139,2,2,3024.31,252.00,3276.31
151,1562,322,727211.48,16495.00,743706.48
153,2,2,4083.54,14.00,4097.54
154,969,790,1359644.18,7726968.00,9086612.18
156,61,8,7906.22,0.00,7906.22
160,179,63,275614.00,71008.00,346622.00
161,90,18,469492.36,0.00,469492.36
162,2735,641,1811894.73,2123813.00,3935707.73
170,1,1,6893.27,21336.00,28229.27
174,889,63,84858.12,0.00,84858.12
179,812,184,312191.86,0.00,312191.86
182,677,138,207320.21,4975.00,212295.21
185,69,12,139411.62,4712.00,144123.62
190,3,1,5307.16,0.00,5307.16
191,4,2,1659.93,1472.00,3131.93
194,3,3,5205.48,0.00,5205.48
195,715,137,199231.74,579.00,199810.74
196,270,33,245372.66,18275.00,263647.66
197,24,2,3327.45,0.00,3327.45
199,1,1,1862.92,0.00,1862.92
200,675,127,1391520.55,1050376.00,2441896.55
201,5,2,1934.96,0.00,1934.96
203,5,1,5961.14,0.00,5961.14
208,9,2,3039.22,0.00,3039.22
211,1,1,19122.82,0.00,19122.82
212,1725,184,1121323.34,350362.00,1471685.34
213,3239,433,763471.90,339110.00,1102581.90
215,37,5,34929.45,0.00,34929.45
219,2,2,7883.26,0.00,7883.26
221,7,4,3573.57,189.00,3762.57
225,178,13,107325.65,0.00,107325.65
226,43,12,63508.02,39563.00,103071.02
227,31,18,106938.78,5099.00,112037.78
228,1,1,3340.05,8192.00,11532.05
230,5,1,302.52,0.00,302.52
235,822,238,295848.08,0.00,295848.08
238,3,2,666.46,0.00,666.46
241,6,5,34983.88,1402.00,36385.88
243,265,35,120163.84,0.00,120163.84
245,62,3,8224.01,2539.00,10763.01
248,2,2,1658.35,0.00,1658.35
250,2,2,8705.70,5700.00,14405.70
252,18,3,8046.76,1072.00,9118.76
255,3,1,1103.61,8992.00,10095.61
257,28,2,11101.93,0.00,11101.93
259,3,3,24794.34,39493.00,64287.34
264,356,57,182080.84,0.00,182080.84
266,2,1,898.96,0.00,898.96
271,38,1,9086.74,2.00,9088.74
272,4,2,715.68,1048.00,1763.68
273,33,10,35376.63,3072.00,38448.63
276,36,3,33571.10,1448.00,35019.10
278,407,23,83126.10,0.00,83126.10
279,58,7,21658.95,0.00,21658.95
281,364,50,255620.76,171049.00,426669.76
282,28,1,15507.08,0.00,15507.08
283,426,8,32420.53,69424.00,101844.53
284,28,5,37351.07,33385.00,70736.07
288,135,21,25837.06,0.00,25837.06
301,1,1,365.68,430.00,795.68
303,1,1,448.02,10.00,458.02
