"Bidder #","Certificates Bid For","Certificates Awarded","Lien Value of Awards","High Bid Premium of Awards","Total Due for Awards"
11,1,1,326.46,979.00,1305.46
12,1,1,2172.74,280.00,2452.74
13,239,29,79713.83,955.00,80668.83
14,127,72,65166.20,348091.00,413257.20
15,3,1,1961.24,0.00,1961.24
20,28,8,2928.17,142.00,3070.17
26,712,119,146150.58,749.00,146899.58
30,1,1,3041.65,0.00,3041.65
34,168,11,131004.47,19782.00,150786.47
45,26,3,1316.16,0.00,1316.16
49,10,1,14628.97,0.00,14628.97
50,3,2,2613.77,360.00,2973.77
51,3,3,7704.26,1196.00,8900.26
53,2,2,10922.78,0.00,10922.78
56,1,1,547.16,0.00,547.16
59,5183,1459,3522394.82,767463.00,4289857.82
64,51,2,56552.84,0.00,56552.84
67,1,1,5126.90,0.00,5126.90
71,25,7,11886.81,775.00,12661.81
78,1,1,320.22,20.00,340.22
96,1434,1055,1584285.30,5776879.00,7361164.30
98,35,2,16623.88,1441.00,18064.88
101,276,28,94973.01,5361.00,100334.01
103,4,2,4873.85,5024.00,9897.85
107,2214,1129,3831529.91,5138496.00,8970025.91
108,412,48,37611.66,28.00,37639.66
109,38,3,4915.00,0.00,4915.00
115,10,2,1076.97,0.00,1076.97
116,25,1,1053.88,0.00,1053.88
117,30,7,3993.85,283.00,4276.85
119,4,2,3862.00,238.00,4100.00
120,4,3,1619.72,0.00,1619.72
122,191,6,33969.50,1712.00,35681.50
126,534,26,85399.44,192.00,85591.44
127,1079,16,52900.79,0.00,52900.79
128,1,1,331.94,44.00,375.94
129,118,25,300960.86,0.00,300960.86
132,3,3,1089.99,0.00,1089.99
133,49,2,2255.47,1120.00,3375.47
134,10,3,6040.97,11315.00,17355.97
138,1,1,42453.08,0.00,42453.08
145,15,6,5712.81,198.00,5910.81
147,1,1,3123.67,0.00,3123.67
148,1,1,3379.75,0.00,3379.75
151,3563,610,3238578.81,442052.00,3680630.81
152,937,73,100464.33,0.00,100464.33
154,1,1,1407.73,38.00,1445.73
159,1,1,413.66,0.00,413.66
163,23,4,20469.15,7086.00,27555.15
164,606,117,199633.01,0.00,199633.01
165,51,8,10404.93,0.00,10404.93
166,1089,109,292411.75,199540.00,491951.75
169,2,1,5422.70,0.00,5422.70
171,1,1,421.42,0.00,421.42
172,7,2,10560.56,0.00,10560.56
174,2828,708,3559048.02,1286998.00,4846046.02
176,70,9,26993.38,0.00,26993.38
179,223,10,78339.32,0.00,78339.32
187,374,32,105179.30,31.00,105210.30
189,535,49,137234.49,1686.00,138920.49
195,4,2,1543.66,0.00,1543.66
198,810,285,422640.61,16559.00,439199.61
204,14,8,14499.08,0.00,14499.08
207,8,4,1996.41,0.00,1996.41
208,24,1,6253.41,0.00,6253.41
211,24,6,6922.41,0.00,6922.41
213,442,67,342945.00,202407.00,545352.00
214,33,10,74547.00,27585.00,102132.00
218,693,91,126046.77,0.00,126046.77
219,365,80,764165.11,360120.00,1124285.11
222,186,20,31047.84,412.00,31459.84
223,562,115,161232.35,2125.00,163357.35
228,5,1,4134.10,3871.00,8005.10
231,6,1,1208.21,0.00,1208.21
232,11,5,25006.17,15540.00,40546.17
234,40,4,17391.76,645.00,18036.76
236,1,1,2447.70,1120.00,3567.70
238,2,1,3980.02,2227.00,6207.02
246,12,5,3423.72,0.00,3423.72
249,5,2,3047.68,0.00,3047.68
252,3,3,11181.92,624.00,11805.92
