"Bidder #","Certificates Bid For","Certificates Awarded","Lien Value of Awards","High Bid Premium of Awards","Total Due for Awards"
13,1,1,302.50,0.00,302.50
21,4,2,8195.04,0.00,8195.04
41,2,1,875.11,0.00,875.11
66,14,9,60305.16,0.00,60305.16
99,4,2,6397.42,0.00,6397.42
102,61,7,51936.05,0.00,51936.05
103,61,8,33350.09,0.00,33350.09
117,2,1,5121.71,0.00,5121.71
126,31,7,25441.01,0.00,25441.01
129,7,1,9415.63,0.00,9415.63
132,33,9,22781.35,0.00,22781.35
133,34,10,26151.60,0.00,26151.60
134,8,5,6288.86,0.00,6288.86
135,5,3,13447.42,0.00,13447.42
160,63,32,98948.53,0.00,98948.53
167,54,29,109743.68,0.00,109743.68
172,15,8,30061.07,0.00,30061.07
174,4,2,1107.07,0.00,1107.07
178,42,16,70515.64,0.00,70515.64
182,6,3,3320.55,0.00,3320.55
183,3,3,18423.27,0.00,18423.27
196,9,4,76189.23,0.00,76189.23
197,1,1,462.50,0.00,462.50
208,4,3,7062.56,0.00,7062.56
216,2,1,18423.12,0.00,18423.12
223,2,1,9861.49,0.00,9861.49
224,1,1,579.47,0.00,579.47
235,1,1,456.08,0.00,456.08
237,2,1,1096.81,0.00,1096.81
241,2,1,365.99,0.00,365.99
243,4,2,12399.00,0.00,12399.00
258,4,1,11515.12,0.00,11515.12
262,33,6,27948.33,0.00,27948.33
263,1,1,4973.75,0.00,4973.75
264,43,6,49554.10,0.00,49554.10
265,8,5,12050.41,0.00,12050.41
266,61,11,61257.95,0.00,61257.95
270,7,5,15812.91,0.00,15812.91
273,2,2,6408.94,0.00,6408.94
275,60,9,37318.60,0.00,37318.60
278,16,3,5961.63,0.00,5961.63
280,19,8,26469.31,0.00,26469.31
291,3,2,8742.57,0.00,8742.57
293,2,1,15784.68,0.00,15784.68
297,2,1,747.21,0.00,747.21
301,5,3,2081.04,0.00,2081.04
